,description,eye_color,hair_color,sex
2415,"A young woman with blonde hair, dark eyes, a small nose and thin lips",,,
2416,"A Caucasian woman with light brown curly hair, extremely thin eyebrows, blue eyes, a pointed nose and small lips.",,,
2417,"A man with an elongated face, a small mouth, light-blue eyes and blonde hair. He has a fringe covering most of his forehead and is smiling. He has dimples.",,,
2418,"A tanned woman with long, blond hair and dark roots. She has thin eyebrows, a long nose and full lips.",,,
2419,"A serious looking white woman with long blonde hair, brown eyes and a long nose",,,
2420,An older black man with greying short hair and a full beard which is going white. He has some wrinkles.,,,
2421,An elderly man with short hair and a beard,,,
2422,"An olive-skinned woman with radiant skin, a large face and shiny dark brown hair. He has a large forehead, arched eyebrows, dark brown almond-shaped eyes, a straight nose, plump cheeks and full lips.",,,
2423,"A man with a fair complexion, a clean-shaven face and straight chestnut hair covering his forehead. He has thick eyebrows, green slit eyes, a straight nose, thin lips and radiant skin.",,,
2424,A grinning bald white man with brown eyes a large nose and a large chin,,,
2425,An elderly man with grey hair wearing spectacles,,,
2426,A middle-aged man with short dark hair and thick dark eyebrows. His eyes are small and dark-coloured. His nose is small and his lips are thin. The man has got a serious look on his face,,,
2427,"A serious looking white man with short brown hair, brown eyes",,,
2428,"A young woman with ginger hair, dark eyes, small nose and thin lips",,,
2429,"A black woman with long, slightly curly, dark-brown hair and a thin nose. She has full lips, a sharp jawline and high cheekbones.",,,
2430,A young dark-skinned woman with long wavy brown hair. She is looking to the side. Her eyes are dark-coloured and her lips are somewhat thick. Her lips are slightly parted and her front teeth are visible.,,,
2431,"A young woman with wavy hair, dark eyes, small nose and thin lips",,,
2432,"A pale woman with a wavy bob cut and a hairband. She has full cheeks, a slightly pointed jaw and she is wearing makeup.",,,
2433,A young woman with medium-length dark-blonde hair and dark-coloured eyes. Her lips are painted red and she is smiling.,,,
2434,"A young woman with curly hair, dark eyes, a pointed nose and thin lips wearing red lipstick",,,
2435,"A white man, with brown long hair, hazel-coloured eyes, a small nose, thin lips and a light stubble.",,,
2436,"A woman with a pale complexion, youthful skin and an oval-shaped face. She has long jet-black hair, black eyebrows, large dark brown eyes, a straight nose, rosy cheeks, voluptuous lips, pristine teeth and a well-defined jawline.",,,
2437,"A white male with a chiselled jaw, big eyes and brown hair. The man is smiling and has dimples.",,,
2438,"A woman with long, wavy, blond hair, green eyes, high cheekbones and a smile. She is wearing makeup and she has sculpted eyebrows.",,,
2439,"A young woman with blonde hair, blue eyes, a small nose and thin lips",,,
2440,"A pale woman with a pointed nose and a small mouth. She has long, straight, blond hair with bangs and she is wearing makeup.",,,
2441,"A grinning white woman with pulled back blonde hair, with a fringe, beige eye makeup",,,
2442,"White woman with dark brown, parted hair, having wide curls at the bottom. She is sun-tanned, with her mouth ajar, wearing natural make-up and her eyebrows are rather thin.",,,
2443,"A woman with long, straight, dark-brown hair, a strong jaw thin eyebrows and prominent cheeks. She is wearing makeup and she has a small, slightly upturned nose.",,,
2444,"A young woman with brown hair, dark eyes with black make-up around them and thin lips. She is smiling softly. She is wearing a pair of long earrings",,,
2445,A tanned white woman with long brown hair and rosy cheeks,,,
2446,"A woman with an elongated face, a smooth complexion and large, light-green eyes. She has a short upturned nose and blonde hair with black roots. She is wearing eyeliner and lip gloss.",,,
2447,A young woman wearing a big fancy hat. Her eyes are wide open and there is some light make-up around them. Her nose is small and her lips are painted with lipstick. There is a beauty spot above her upper lip,,,
2448,"A serious looking white woman with curly blonde hair, brown eyes and red lips",,,
2449,"A smiling, Asian man with fair skin, thick eyebrows, a wide nose, large ears and a black hat.",,,
2450,"A young eastern asian man with a toothy smile, looking sideways and wearing some traditional headwear.",,,
2451,a smiling asian man with a black hat on,,,
2452,"this is a girl with long curly blonde hair, arched eyebrows and small eyes. her nose is pointed and her lips are red",,,
2453,A smiling woman with a wide jaw and long blonde hair.,,,
2454,"A woman with blonde hair, blue eyes, a small nose and thin lips",,,
2455,"An old white man with a droopy nose, white hair, black eyes and thin lips. He is is clean-shaven, has numerous sunspots on his forehead and has a receding hairline.",,,
2456,"A woman with large, green eyes, thin lips and amber hair. She has a pale face and is wearing long earrings and eyeliner.",,,
2457,"A man with short, black hair, a large, slightly wrinkled forehead, full cheeks and a prominent chin. He has some slight stubble and a narrow, pointed nose.",,,
2458,A young man with short dark hair and small dark eyes. His nose is small. He has got a heavy lower lip and his upper teeth are visible as he is smiling. A stubble beard is growing on his face.,,,
2459,"A smiling white man with short black hair, a long pointy nose and a light stubble",,,
2460,"A young woman with long hair, blue eyes, small ears, a thin nose and thin lips wearing hoop earrings",,,
2461,"A man with messy chestnut hair, a fair complexion, youthful skin and a neatly-shaven stubble and moustache. He has large sunglasses, a droopy nose, a well-defined jawline and a slightly tilted smile.",,,
2462,"A woman with large cheeks, thick lips, and a long face. She has long, blonde hair and is wearing earrings. She is also wearing eyeliner and blusher.",,,
2463,"A woman with a large chin, thin lips, large black eyes and long, straight black hair. She has a fringe covering half of her forehead and has a mole on her left cheek.",,,
2464,"A woman with an slim oblong face, a pale complexion, long golden locks and brown roots. She has a large forehead, thin arched eyebrows, light brown slit eyes, a long straight nose, full cheeks and thick lips.",,,
2465,"A young woman with wavy hair, dark eyes, a big nose and thin lips",,,
2466,"A man with a pale complexion, spiky bleached hair and a clean-shaven face. He has thick eyebrows, light-coloured eyes, a straight nose, thin lips, full cheeks and a smile on his face.",,,
2467,"This is a middle-aged man with little hair on his head he has 
sunglasses on his head. He has very thin eyebrows and blue eyes. He has a sharp nose and a nice smile",,,
2468,"A woman with long, wavy, brown hair and a large crown atop her head. She has thin, sculpted eyebrows and she is wearing makeup.",,,
2469,"A smiling aging white woman with long brown hair, brown eyes and glossy pink lips",,,
2470,"A smiling woman with a slightly wide nose and long, straight, black hair. She is wearing makeup and has fair skin.",,,
2471,"An aging smiling white woman with long black hair, blue eyes and red lips",,,
2472,"A woman with light brown curly hair, thin brown pointed eyebrows, green-coloured eyes, a small nose, thin lips and she is wearing heavy black eye-liner.",,,
2473,"A man with a rectangular face, chestnut hair, a pale complexion and smooth skin. He has a large forehead, blue-grey eyes, a slightly upturned nose, thick lips, high cheek-bones and a chiselled jawline.",,,
2474,"A man with short, curly, dark-brown hair and a grin. He has a prominent chin, large ears and pale skin.",,,
2475,"A young man with curly hair, dark eyes, small nose and thin lips",,,
2476,"A woman with an oblong face and long dark brown hair. She has neatly-shaped eyebrows, sparkly dark brown eyes, a long nose, plump cheeks and thick lips. She is smiling and wearing make-up.",,,
2477,"A man with a long, oval-shaped face and a narrow nose. He has short, dark-brown hair and a receding hairline.",,,
2478,"A middle-aged man with short brown hair and small dark eyes. His nose is small. His lips are thin, though they are pressed together.",,,
2479,"A serious looking white man with short brown hair, blue eyes and a long nose",,,
2480,"A blonde woman with a glowing skin, a short, button nose and green eyes. She is wearing eyeliner and long earrings.",,,
2481,"This woman has medium length light brown hair, she has very thin arched eyebrows and she's wearing greyish make up on her eyes. She has a pointed nose and red lips. She is also wearing earrings and a purple top",,,
2482,"A man with white hair, beady brown eyes and narrow lips. He is wearing round prescription glasses.",,,
2483,An elderly man with white hair wearing round glasses,,,
2484,"A woman with short brown hair, brown eyes and very full red lips.",,,
2485,"A woman with hair styled in a bob, plucked eyebrows, wide set eyes, small nose and wearing red lipstick.",,,
